0	0.067	0.096	0.019
0.025	0.135	0.189	0.038
0.05	0.196	0.253	0.058
0.075	0.258	0.318	0.079
0.1	0.311	0.372	0.101
0.125	0.369	0.425	0.123
0.15	0.418	0.451	0.145
0.175	0.470	0.477	0.168
0.2	0.560	0.555	0.217
0.25	0.641	0.627	0.269
0.3	0.707	0.753	0.322
0.35	0.772	0.872	0.378
0.4	0.818	0.961	0.436
0.45	0.868	1.047	0.497
0.5	0.908	0.973	0.560
0.55	0.953	0.897	0.626
0.6	0.988	0.883	0.695
0.65	1.020	0.875	0.767
0.7	1.053	0.879	0.842
0.75	1.063	0.888	0.920
0.8	1.065	0.896	0.959
0.825	1.075	0.902	0.999
0.85	1.080	0.896	1.040
0.875	1.085	0.893	1.081
0.9	1.114	0.883	1.124
0.925	1.095	0.876	1.168
0.95	1.098	0.887	1.214
0.975	1.104	0.904	1.261
