angle	TIP4P	Gas
3	0	0.0554
9	0	0.0548
15	0	0.0518
21	0	0.048
27	0	0.043
33	0	0.0381
39	0	0.0317
45	0	0.0257
51	0	0.0204
57	0	0.0156
63	0	0.012
69	0	0.0091
75	0.0001	0.0067
81	0.0004	0.0049
87	0.0011	0.0039
93	0.0023	0.003
99	0.0024	0.0025
105	0.0042	0.0023
111	0.0051	0.0021
117	0.0066	0.0022
123	0.0078	0.0023
129	0.0083	0.0027
135	0.01	0.0034
141	0.0158	0.0044
147	0.0262	0.0056
153	0.04	0.0067
159	0.0622	0.0083
165	0.084	0.0099
171	0.1078	0.0112
177	0.1224	0.0119
183	0.1183	0.0119
189	0.0993	0.0113
195	0.0804	0.0098
201	0.0605	0.0083
207	0.0429	0.0065
213	0.0293	0.0051
219	0.017	0.004
225	0.0114	0.0032
231	0.0081	0.0026
237	0.0066	0.0024
243	0.0035	0.002
249	0.0034	0.0021
255	0.0025	0.0021
261	0.0026	0.0023
267	0.0028	0.0027
273	0.0016	0.0034
279	0.0017	0.0046
285	0.0009	0.0066
291	0.0004	0.009
297	0	0.0119
303	0	0.0161
309	0	0.0204
315	0	0.0258
321	0	0.0319
327	0	0.0385
333	0	0.0443
339	0	0.0491
345	0	0.0527
351	0	0.0546
357	0	0.0553
