angle	TIP4P	Gas
3	0	0.007
9	0	0.0074
15	0	0.0079
21	0	0.0089
27	0	0.0096
33	0	0.0122
39	0	0.0147
45	0.0005	0.0177
51	0.0015	0.0205
57	0.0017	0.022
63	0.0011	0.0219
69	0.0009	0.0194
75	0.0004	0.0156
81	0.0005	0.0118
87	0.0026	0.0084
93	0.003	0.0059
99	0.0015	0.0042
105	0.0019	0.0028
111	0.0023	0.002
117	0.0042	0.0019
123	0.0038	0.0021
129	0.0041	0.0033
135	0.0087	0.0058
141	0.0185	0.0103
147	0.0384	0.0172
153	0.0693	0.0283
159	0.1009	0.0414
165	0.1406	0.0564
171	0.1682	0.0688
177	0.1574	0.0739
183	0.1237	0.0696
189	0.0787	0.0591
195	0.0417	0.0447
201	0.0198	0.0319
207	0.0035	0.0218
213	0.0005	0.0137
219	0	0.0081
225	0	0.0047
231	0	0.0029
237	0	0.0023
243	0	0.0023
249	0	0.002
255	0	0.0027
261	0	0.0035
267	0	0.0049
273	0	0.007
279	0	0.01
285	0	0.0141
291	0	0.0183
297	0	0.0209
303	0	0.0212
309	0	0.0192
315	0	0.0172
321	0	0.0147
327	0	0.0127
333	0	0.0103
339	0	0.0085
345	0	0.0077
351	0	0.0076
357	0	0.0075
