


                    BOSS Z-Matrix                 

              Results Summary for Scanning Dihedral Angle   12

             Phi,          Dipole,         E(Phi),         Delta E
             0.000,        0.88498,       -1.04562,        3.20477
            10.000,        0.91854,       -1.17367,        3.07673
            20.000,        1.01081,       -1.54001,        2.71038
            30.000,        1.14586,       -2.09165,        2.15874
            40.000,        1.30700,       -2.74329,        1.50710
            50.000,        1.47939,       -3.38669,        0.86370
            60.000,        1.65405,       -3.90841,        0.34198
            70.000,        1.82396,       -4.21378,        0.03661
            80.000,        1.98328,       -4.25039,        0.00000
            90.000,        2.12742,       -4.02360,        0.22679
           100.000,        2.25346,       -3.59690,        0.65349
           110.000,        2.36056,       -3.07407,        1.17632
           120.000,        2.45008,       -2.56672,        1.68367
           130.000,        2.52688,       -2.16042,        2.08997
           140.000,        2.59708,       -1.89869,        2.35171
           150.000,        2.66176,       -1.78574,        2.46465
           160.000,        2.71392,       -1.78355,        2.46684
           170.000,        2.74697,       -1.82357,        2.42682
           180.000,        2.75824,       -1.84488,        2.40551
           190.000,        2.74700,       -1.82357,        2.42682
           200.000,        2.71392,       -1.78355,        2.46684
           210.000,        2.66182,       -1.78574,        2.46465
           220.000,        2.59688,       -1.89868,        2.35171
           230.000,        2.52669,       -2.16041,        2.08998
           240.000,        2.45009,       -2.56672,        1.68367
           250.000,        2.36054,       -3.07407,        1.17632
           260.000,        2.25331,       -3.59690,        0.65349
           270.000,        2.12736,       -4.02360,        0.22679
           280.000,        1.98333,       -4.25039,        0.00000
           290.000,        1.82413,       -4.21378,        0.03661
           300.000,        1.65385,       -3.90841,        0.34198
           310.000,        1.47940,       -3.38669,        0.86370
           320.000,        1.30701,       -2.74330,        1.50710
           330.000,        1.14601,       -2.09165,        2.15874
           340.000,        1.01077,       -1.54001,        2.71038
           350.000,        0.91824,       -1.17366,        3.07673
           360.000,        0.88495,       -1.04562,        3.20477
