0.000 3.20477	3.527
10.000 3.07673	3.351
20.000 2.71038	2.861
30.000 2.15874	2.177
40.000 1.50710	1.431
50.000 0.86370	0.766
60.000 0.34198	0.270
70.000 0.03661	0.013
80.000 0.00000	0.000
90.000 0.22679	0.207
100.000 0.65349	0.584
110.000 1.17632	1.073
120.000 1.68367	1.581
130.000 2.08997	2.027
140.000 2.35171	2.328
150.000 2.46465	2.466
160.000 2.46684	2.479
170.000 2.42682	2.447
180.000 2.40551	2.428
190.000 2.42682	2.447
200.000 2.46684	2.479
210.000 2.46465	2.466
220.000 2.35171	2.328
230.000 2.08998	2.027
240.000 1.68367	1.581
250.000 1.17632	1.073
260.000 0.65349	0.584
270.000 0.22679	0.207
280.000 0.00000	0.000
290.000 0.03661	0.013
300.000 0.34198	0.270
310.000 0.86370	0.766
320.000 1.50710	1.431
330.000 2.15874	2.177
340.000 2.71038	2.861
350.000 3.07673	3.351
360.000 3.20477	3.527
