0.000 0.00000	3.527
10.000 0.31936	3.351
20.000 1.25250	2.861
30.000 2.72714	2.177
40.000 4.63029	1.431
50.000 6.81685	0.766
60.000 9.11766	0.270
70.000 11.34519	0.013
80.000 13.29129	0.000
90.000 14.67602	0.207
100.000 13.61997	0.584
110.000 12.15058	1.073
120.000 10.37296	1.581
130.000 8.44568	2.027
140.000 6.54089	2.328
150.000 4.83399	2.466
160.000 3.48464	2.479
170.000 2.62018	2.447
180.000 2.32259	2.428
190.000 2.62018	2.447
200.000 3.48465	2.479
210.000 4.83399	2.466
220.000 6.54089	2.328
230.000 8.44568	2.027
240.000 10.37296	1.581
250.000 12.15058	1.073
260.000 13.61996	0.584
270.000 14.59461	0.207
280.000 13.29131	0.000
290.000 11.34519	0.013
300.000 9.11766	0.270
310.000 6.81685	0.766
320.000 4.63029	1.431
330.000 2.72714	2.177
340.000 1.25250	2.861
350.000 0.31936	3.351
360.000 0.00000	3.527
