0	0.420	0.601	0.092
0.025	0.831	1.144	0.183
0.05	1.227	1.688	0.274
0.075	1.613	2.192	0.365
0.1	1.985	2.594	0.455
0.125	2.348	2.968	0.545
0.15	2.695	3.390	0.635
0.175	3.039	3.776	0.725
0.2	3.686	4.577	0.904
0.25	4.294	5.273	1.081
0.3	4.856	5.739	1.258
0.35	5.387	6.150	1.433
0.4	5.874	6.575	1.605
0.45	6.323	6.953	1.775
0.5	6.720	7.223	1.943
0.55	7.088	7.472	2.108
0.6	7.429	7.751	2.270
0.65	7.709	8.002	2.429
0.7	7.961	8.182	2.585
0.75	8.177	8.344	2.738
0.8	8.262	8.422	2.814
0.825	8.344	8.495	2.889
0.85	8.411	8.569	2.963
0.875	8.471	8.635	3.036
0.9	8.513	8.692	3.108
0.925	8.548	8.742	3.179
0.95	8.570	8.785	3.249
0.975	8.579	8.824	3.318
