


                    BOSS Z-Matrix                 

              Results Summary for Scanning Dihedral Angle   15

             Phi,          Dipole,         E(Phi),         Delta E
             0.000,        1.85874,       -2.29233,        0.00000
            10.000,        1.85728,       -2.18177,        0.11056
            20.000,        1.85331,       -1.86066,        0.43167
            30.000,        1.84767,       -1.36045,        0.93188
            40.000,        1.84183,       -0.73259,        1.55974
            50.000,        1.83783,       -0.04609,        2.24623
            60.000,        1.83783,        0.61742,        2.90975
            70.000,        1.84314,        1.17220,        3.46453
            80.000,        1.85391,        1.54068,        3.83301
            90.000,        1.86768,        1.66830,        3.96063
           100.000,        1.88056,        1.53610,        3.82843
           110.000,        1.88932,        1.16534,        3.45767
           120.000,        1.89195,        0.61132,        2.90365
           130.000,        1.88903,       -0.04949,        2.24284
           140.000,        1.88229,       -0.73319,        1.55914
           150.000,        1.87385,       -1.35952,        0.93281
           160.000,        1.86608,       -1.85966,        0.43267
           170.000,        1.86069,       -2.18141,        0.11092
           180.000,        1.85877,       -2.29233,        0.00000
           190.000,        1.86070,       -2.18141,        0.11092
           200.000,        1.86607,       -1.85966,        0.43267
           210.000,        1.87384,       -1.35952,        0.93281
           220.000,        1.88224,       -0.73319,        1.55914
           230.000,        1.88907,       -0.04949,        2.24284
           240.000,        1.89204,        0.61132,        2.90365
           250.000,        1.88937,        1.16534,        3.45767
           260.000,        1.88067,        1.53610,        3.82843
           270.000,        1.86779,        1.66830,        3.96063
           280.000,        1.85394,        1.54069,        3.83301
           290.000,        1.84323,        1.17220,        3.46453
           300.000,        1.83779,        0.61742,        2.90975
           310.000,        1.83783,       -0.04609,        2.24623
           320.000,        1.84182,       -0.73259,        1.55974
           330.000,        1.84766,       -1.36045,        0.93188
           340.000,        1.85334,       -1.86066,        0.43167
           350.000,        1.85725,       -2.18177,        0.11056
           360.000,        1.85870,       -2.29233,        0.00000
