0.000 0.00000	0.000
10.000 0.11056	0.075
20.000 0.43167	0.320
30.000 0.93188	0.728
40.000 1.55974	1.280
50.000 2.24623	1.939
60.000 2.90975	2.636
70.000 3.46453	3.276
80.000 3.83301	3.753
90.000 3.96063	3.972
100.000 3.82843	3.872
110.000 3.45767	3.476
120.000 2.90365	2.868
130.000 2.24284	2.165
140.000 1.55914	1.462
150.000 0.93281	0.853
160.000 0.43267	0.383
170.000 0.11092	0.094
180.000 0.00000	0.000
190.000 0.11092	0.094
200.000 0.43267	0.383
210.000 0.93281	0.853
220.000 1.55914	1.462
230.000 2.24284	2.165
240.000 2.90365	2.868
250.000 3.45767	3.476
260.000 3.82843	3.872
270.000 3.96063	3.972
280.000 3.83301	3.753
290.000 3.46453	3.276
300.000 2.90975	2.636
310.000 2.24623	1.939
320.000 1.55974	1.280
330.000 0.93188	0.728
340.000 0.43167	0.320
350.000 0.11056	0.075
360.000 0.00000	0.000
