


                    BOSS Z-Matrix                 

              Results Summary for Scanning Dihedral Angle   15

             Phi,          Dipole,         E(Phi),         Delta E
             0.000,        1.85874,       -2.29233,        0.00000
            10.000,        1.85786,       -2.22192,        0.07041
            20.000,        1.85554,       -2.01723,        0.27510
            30.000,        1.85227,       -1.69799,        0.59434
            40.000,        1.84907,       -1.29689,        0.99544
            50.000,        1.84723,       -0.85836,        1.43397
            60.000,        1.84798,       -0.43514,        1.85719
            70.000,        1.85201,       -0.08222,        2.21011
            80.000,        1.85898,        0.15151,        2.44384
            90.000,        1.86758,        0.23231,        2.52464
           100.000,        1.87546,        0.14861,        2.44094
           110.000,        1.88069,       -0.08664,        2.20569
           120.000,        1.88217,       -0.43919,        1.85314
           130.000,        1.87999,       -0.86074,        1.43159
           140.000,        1.87530,       -1.29744,        0.99489
           150.000,        1.86930,       -1.69748,        0.59485
           160.000,        1.86387,       -2.01662,        0.27571
           170.000,        1.86011,       -2.22169,        0.07064
           180.000,        1.85878,       -2.29233,        0.00000
           190.000,        1.86012,       -2.22169,        0.07064
           200.000,        1.86388,       -2.01662,        0.27571
           210.000,        1.86931,       -1.69748,        0.59485
           220.000,        1.87517,       -1.29744,        0.99489
           230.000,        1.88001,       -0.86074,        1.43159
           240.000,        1.88217,       -0.43919,        1.85314
           250.000,        1.88075,       -0.08664,        2.20569
           260.000,        1.87555,        0.14861,        2.44094
           270.000,        1.86765,        0.23231,        2.52464
           280.000,        1.85900,        0.15151,        2.44384
           290.000,        1.85199,       -0.08222,        2.21011
           300.000,        1.84796,       -0.43514,        1.85719
           310.000,        1.84723,       -0.85836,        1.43397
           320.000,        1.84913,       -1.29689,        0.99544
           330.000,        1.85225,       -1.69799,        0.59434
           340.000,        1.85552,       -2.01723,        0.27510
           350.000,        1.85784,       -2.22192,        0.07041
           360.000,        1.85870,       -2.29233,        0.00000
