0.000 0.00000	0.000
10.000 0.07041	0.075
20.000 0.27510	0.320
30.000 0.59434	0.728
40.000 0.99544	1.280
50.000 1.43397	1.939
60.000 1.85719	2.636
70.000 2.21011	3.276
80.000 2.44384	3.753
90.000 2.52464	3.972
100.000 2.44094	3.872
110.000 2.20569	3.476
120.000 1.85314	2.868
130.000 1.43159	2.165
140.000 0.99489	1.462
150.000 0.59485	0.853
160.000 0.27571	0.383
170.000 0.07064	0.094
180.000 0.00000	0.000
190.000 0.07064	0.094
200.000 0.27571	0.383
210.000 0.59485	0.853
220.000 0.99489	1.462
230.000 1.43159	2.165
240.000 1.85314	2.868
250.000 2.20569	3.476
260.000 2.44094	3.872
270.000 2.52464	3.972
280.000 2.44384	3.753
290.000 2.21011	3.276
300.000 1.85719	2.636
310.000 1.43397	1.939
320.000 0.99544	1.280
330.000 0.59434	0.728
340.000 0.27510	0.320
350.000 0.07041	0.075
360.000 0.00000	0.000
