0.000 1.59740	1.606
10.000 1.58694	1.581
20.000 1.53138	1.500
30.000 1.36691	1.330
40.000 1.05973	1.048
50.000 0.67854	0.671
60.000 0.32767	0.307
70.000 0.08552	0.069
80.000 0.00007	0.000
90.000 0.09225	0.100
100.000 0.35516	0.358
110.000 0.75337	0.740
120.000 1.22537	1.211
130.000 1.68658	1.688
140.000 2.03102	2.052
150.000 2.15270	2.177
160.000 2.04662	2.046
170.000 1.87024	1.826
180.000 1.79092	1.726
190.000 1.87025	1.826
200.000 2.04663	2.046
210.000 2.15271	2.177
220.000 2.03102	2.052
230.000 1.68656	1.688
240.000 1.22533	1.211
250.000 0.75332	0.740
260.000 0.35510	0.358
270.000 0.09218	0.100
280.000 0.00000	0.000
290.000 0.08546	0.069
300.000 0.32761	0.307
310.000 0.67848	0.671
320.000 1.05968	1.048
330.000 1.36687	1.330
340.000 1.53135	1.500
350.000 1.58692	1.581
360.000 1.59740	1.606
