0.000 1.65373	1.606
10.000 1.94127	1.581
20.000 2.80229	1.500
30.000 4.23022	1.330
40.000 6.20774	1.048
50.000 8.69502	0.671
60.000 11.60729	0.307
70.000 14.77454	0.069
80.000 17.90114	0.000
90.000 20.57140	0.100
100.000 17.82054	0.358
110.000 14.73058	0.740
120.000 11.57933	1.211
130.000 8.49943	1.688
140.000 5.67239	2.052
150.000 3.28816	2.177
160.000 1.49140	2.046
170.000 0.37728	1.826
180.000 0.00000	1.726
190.000 0.37728	1.826
200.000 1.49140	2.046
210.000 3.28817	2.177
220.000 5.67239	2.052
230.000 8.49942	1.688
240.000 11.57932	1.211
250.000 14.73054	0.740
260.000 17.82049	0.358
270.000 20.63870	0.100
280.000 17.90106	0.000
290.000 14.77448	0.069
300.000 11.60723	0.307
310.000 8.69497	0.671
320.000 6.20770	1.048
330.000 4.23019	1.330
340.000 2.80228	1.500
350.000 1.94127	1.581
360.000 1.65373	1.606
