angle	TIP4P	Gas
3	0	0.1017
9	0	0.0946
15	0	0.0785
21	0	0.0607
27	0	0.0435
33	0	0.0295
39	0	0.019
45	0	0.011
51	0	0.0071
57	0	0.004
63	0	0.0021
69	0	0.0011
75	0	0.0005
81	0	0.0004
87	0	0.0003
93	0	0.0002
99	0	0.0002
105	0	0.0002
111	0	0.0002
117	0	0.0002
123	0.0002	0.0003
129	0.0019	0.0006
135	0.0041	0.0008
141	0.0101	0.0015
147	0.0206	0.0021
153	0.0372	0.0034
159	0.0625	0.0051
165	0.0861	0.007
171	0.1133	0.0087
177	0.1332	0.0101
183	0.145	0.0098
189	0.129	0.0088
195	0.1011	0.0069
201	0.0736	0.0053
207	0.041	0.0036
213	0.0206	0.0023
219	0.0125	0.0013
225	0.0047	0.0008
231	0.0015	0.0005
237	0.0007	0.0003
243	0.0009	0.0001
249	0.0002	0.0001
255	0.0001	0
261	0	0.0001
267	0	0.0001
273	0	0.0002
279	0	0.0004
285	0	0.0006
291	0	0.001
297	0	0.0017
303	0	0.0034
309	0	0.0063
315	0	0.0115
321	0	0.0199
327	0	0.0323
333	0	0.0476
339	0	0.064
345	0	0.0814
351	0	0.094
357	0	0.1014
