angle	TIP4P	Gas
3	0.0188	0.078
9	0.0172	0.0756
15	0.0165	0.0732
21	0.0167	0.0674
27	0.0101	0.0564
33	0.0062	0.0456
39	0.0028	0.0352
45	0.0028	0.0244
51	0.0015	0.0154
57	0.0004	0.0096
63	0.0012	0.0057
69	0.0021	0.0027
75	0.0034	0.0016
81	0.0038	0.0009
87	0.0014	0.0004
93	0.0011	0.0002
99	0.0009	0.0001
105	0.0002	0
111	0.0003	0
117	0.0007	0.0001
123	0.0023	0.0001
129	0.0021	0.0002
135	0.0011	0.0004
141	0.0049	0.0004
147	0.0077	0.0005
153	0.0085	0.0006
159	0.0119	0.0009
165	0.0234	0.001
171	0.0376	0.0013
177	0.0506	0.0014
183	0.058	0.0013
189	0.0674	0.001
195	0.0647	0.0007
201	0.0504	0.0007
207	0.035	0.0003
213	0.0216	0.0001
219	0.0108	0.0002
225	0.0055	0.0001
231	0.0036	0.0001
237	0.0016	0.0001
243	0.0001	0.0001
249	0	0.0001
255	0	0.0002
261	0	0.0004
267	0	0.0006
273	0	0.0007
279	0.0002	0.0011
285	0.0004	0.0019
291	0.0044	0.0038
297	0.0083	0.0059
303	0.0157	0.0099
309	0.0318	0.0156
315	0.0438	0.0247
321	0.0507	0.0349
327	0.0505	0.0469
333	0.0555	0.0584
339	0.0516	0.067
345	0.0396	0.0717
351	0.0421	0.0754
357	0.0285	0.0767
