0.000 1.68156	0.885
10.000 1.96321	0.828
20.000 2.81754	0.778
30.000 4.23715	0.916
40.000 6.15071	1.299
50.000 8.41459	1.939
60.000 10.82576	2.755
70.000 13.12812	3.633
80.000 14.95195	4.393
90.000 15.34201	4.851
100.000 13.98292	4.876
110.000 11.92674	4.443
120.000 9.56395	3.671
130.000 7.13112	2.736
140.000 4.82871	1.807
150.000 2.83455	1.017
160.000 1.29781	0.446
170.000 0.33017	0.107
180.000 0.00000	0.000
190.000 0.33017	0.107
200.000 1.29781	0.446
210.000 2.83455	1.017
220.000 4.82871	1.807
230.000 7.13112	2.736
240.000 9.56395	3.671
250.000 11.92674	4.443
260.000 13.98292	4.876
270.000 15.34201	4.851
280.000 14.95195	4.393
290.000 13.12812	3.633
300.000 10.82576	2.755
310.000 8.41459	1.939
320.000 6.15071	1.299
330.000 4.23715	0.916
340.000 2.81754	0.778
350.000 1.96321	0.828
360.000 1.68156	0.885
