#angle	TIP4P	Gas
3	0.0008	0.0002
9	0.0008	0.0003
15	0.001	0.0004
21	0.0009	0.0006
27	0.0013	0.0011
33	0.0032	0.002
39	0.0068	0.0037
45	0.0122	0.007
51	0.0226	0.0125
57	0.0311	0.0208
63	0.0453	0.0327
69	0.0604	0.0468
75	0.0739	0.0597
81	0.0727	0.0676
87	0.0666	0.0688
93	0.0546	0.0629
99	0.0466	0.0518
105	0.0345	0.0396
111	0.0246	0.0271
117	0.019	0.018
123	0.0108	0.0109
129	0.0069	0.0066
135	0.0045	0.0037
141	0.002	0.0022
147	0.0012	0.0013
153	0.0005	0.0008
159	0.0002	0.0005
165	0.0002	0.0003
171	0.0004	0.0002
177	0.0003	0.0002
183	0	0.0002
189	0.0002	0.0002
195	0.0002	0.0002
201	0.0001	0.0003
207	0	0.0005
213	0.0003	0.001
219	0.0009	0.0017
225	0.0025	0.0032
231	0.0044	0.0054
237	0.0076	0.0089
243	0.0099	0.0143
249	0.0154	0.0222
255	0.0252	0.0315
261	0.0339	0.0415
267	0.0418	0.0505
273	0.0491	0.0559
279	0.0506	0.0558
285	0.0454	0.0493
291	0.0385	0.0389
297	0.0272	0.0275
303	0.0165	0.0175
309	0.0094	0.0103
315	0.0057	0.0059
321	0.0032	0.0031
327	0.0019	0.0017
333	0.001	0.001
339	0.0008	0.0006
345	0.0008	0.0003
351	0.0007	0.0002
357	0.0009	0.0002
