0.000 0.61760	1.086
10.000 0.61387	0.904
20.000 0.58615	0.577
30.000 0.34423	0.251
40.000 0.08840	0.038
50.000 0.00000	0.000
60.000 0.11909	0.144
70.000 0.40218	0.446
80.000 0.75950	0.803
90.000 1.08831	1.098
100.000 1.28924	1.230
110.000 1.27152	1.199
120.000 1.07040	1.067
130.000 0.82104	0.910
140.000 0.64299	0.778
150.000 0.59456	0.690
160.000 0.66125	0.659
170.000 0.76846	0.659
180.000 0.81998	0.665
190.000 0.76847	0.659
200.000 0.66126	0.659
210.000 0.59458	0.690
220.000 0.64299	0.778
230.000 0.82104	0.910
240.000 1.07040	1.067
250.000 1.27152	1.199
260.000 1.28924	1.230
270.000 1.08830	1.098
280.000 0.75951	0.803
290.000 0.40220	0.446
300.000 0.11910	0.144
310.000 0.00000	0.000
320.000 0.08840	0.038
330.000 0.34423	0.251
340.000 0.58615	0.577
350.000 0.61387	0.904
360.000 0.61760	1.086
